movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
the nutcracker and the four realms,Fantasy Adventure Family,"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,"Lasse Hallström, Joe Johnston Keira Knightley Mackenzie Foy Eugenio Derbez Fantasy Adventure Family"
nobody's fool,Comedy Romance,Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Tyler Perry Tiffany Haddish Tika Sumpter Omari Hardwick Comedy Romance
boy erased,Drama,Joel Edgerton,Lucas Hedges,Nicole Kidman,Russell Crowe,Joel Edgerton Lucas Hedges Nicole Kidman Russell Crowe Drama
a private war,War Drama,Matthew Heineman,Rosamund Pike,Jamie Dornan,Stanley Tucci,Matthew Heineman Rosamund Pike Jamie Dornan Stanley Tucci War Drama
bodied,Drama Comedy Music,Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Joseph Kahn Calum Worthy Jackie Long Rory Uphold Drama Comedy Music
the front runner,Drama History,Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Jason Reitman Hugh Jackman Vera Farmiga J. K. Simmons Drama History
the grinch,Animation Family Comedy Fantasy,"Yarrow Cheney, Scott Mosier",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,"Yarrow Cheney, Scott Mosier Benedict Cumberbatch Rashida Jones Kenan Thompson Animation Family Comedy Fantasy"
the girl in the spider's web,Crime Thriller Action Drama,Fede Alvarez,Claire Foy,Sverrir Gudnason,Lakeith Stanfield,Fede Alvarez Claire Foy Sverrir Gudnason Lakeith Stanfield Crime Thriller Action Drama
overlord,Horror War Science Fiction,Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Julius Avery Jovan Adepo Wyatt Russell Mathilde Ollivier Horror War Science Fiction
the ballad of buster scruggs,Comedy Drama Western Music,Joel and Ethan Coen,Tim Blake Nelson,Zoe Kazan,Liam Neeson,Joel and Ethan Coen Tim Blake Nelson Zoe Kazan Liam Neeson Comedy Drama Western Music
lazer team 2,Science Fiction Action Adventure Comedy,Daniel Fabelo & Matt Hullum,Gavin Free,Michael Jones,Burnie Burns,Daniel Fabelo & Matt Hullum Gavin Free Michael Jones Burnie Burns Science Fiction Action Adventure Comedy
conundrum: secrets among friends,Drama Thriller,Josh Webber,Jo Marie Payton,Gary Leroi Gray,Paula Jai Parker,Josh Webber Jo Marie Payton Gary Leroi Gray Paula Jai Parker Drama Thriller
fantastic beasts: the crimes of grindelwald,Adventure Fantasy Drama,David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,David Yates Eddie Redmayne Katherine Waterston Dan Fogler Adventure Fantasy Drama
